iso2,wave_num,gdp_pc,hicp,displaced_share
BE,1,43890.0,10.4,0.4392895173134814
BE,2,44190.0,7.4,0.5203190109067721
BE,3,44190.0,1.6,0.5631112045206269
BE,4,44190.0,-0.8,0.6138657266974578
BE,5,44410.0,4.9,0.651048277851005
BE,6,44410.0,4.5,0.7102421779428719
BE,7,44650.0,3.1,0.738966103827199
BE,8,44650.0,2.5,0.7720792578277687
BE,9,,,
BG,1,10740.0,14.9,1.9325153752789825
BG,2,10950.0,14.3,2.3139998542118057
BG,3,10950.0,7.5,2.4821215594373816
BG,4,10950.0,5.5,2.6231793923734164
BG,5,11330.0,2.5,0.7857443067476267
BG,6,11330.0,2.0,1.0183103479786846
BG,7,11710.0,2.8,1.14938421961798
BG,8,11710.0,3.8,1.162821405048032
BG,9,,,
CZ,1,21910.0,17.3,3.67981156078609
CZ,2,21680.0,19.1,4.06140680851559
CZ,3,21680.0,11.2,3.2162924707936593
CZ,4,21680.0,8.0,3.4029001446221017
CZ,5,21950.0,3.1,3.161306924280461
CZ,6,21950.0,3.0,3.4728506942995105
CZ,7,22510.0,1.7,3.389889545808699
CZ,8,22510.0,2.3,3.5953985058893623
CZ,9,,,
DK,1,56530.0,9.6,0.4453963789410599
DK,2,56770.0,8.4,0.5489954411634321
DK,3,56770.0,2.4,0.5947591078124563
DK,4,56770.0,0.3,0.6021756873062208
DK,5,58670.0,0.5,0.5390648838859105
DK,6,58670.0,1.6,0.6304886777921875
DK,7,60390.0,1.5,0.5958048530103288
DK,8,60390.0,2.1,0.7494909668942422
DK,9,,,
DE,1,44230.0,8.5,0.0
DE,2,43450.0,9.2,1.169318489032905
DE,3,43450.0,6.8,1.3186474573212046
DE,4,43450.0,2.3,1.4397877555563712
DE,5,43110.0,2.4,1.5309316419200072
DE,6,43110.0,2.4,1.3243019124618234
DE,7,43210.0,2.2,1.3807483721027065
DE,8,43210.0,2.3,1.4293023187919567
DE,9,,,
EE,1,22370.0,23.2,2.222562614694743
EE,2,21210.0,18.6,2.850168828392455
EE,3,21210.0,9.0,2.569032216498619
EE,4,21210.0,4.1,2.6184507615580825
EE,5,21060.0,3.1,2.3765409871483474
EE,6,21060.0,4.5,2.519846335929561
EE,7,21250.0,4.4,2.4730017262836728
EE,8,21250.0,4.5,2.545264763740014
EE,9,,,
IE,1,92300.0,9.6,0.8718002544294767
IE,2,87630.0,7.5,1.3426237267364711
IE,3,87630.0,4.8,1.6018530199311567
IE,4,87630.0,2.5,1.858047063443358
IE,5,89300.0,1.6,1.9301412023623978
IE,6,89300.0,0.1,2.000306072054743
IE,7,94930.0,2.0,2.031146202455095
IE,8,94930.0,2.8,2.140883241628461
IE,9,,,
EL,1,18160.0,11.3,0.17081473082532955
EL,2,18600.0,7.3,0.20919319491460572
