iso2,wave_num,eb_n,exposure,support_aid,support_sanctions,gdp_pc,hicp,displaced_share,psm,psm_z
BE,1,eb97,0,72.54707631318136,81.16947472745292,43890.0,10.4,0.4392895173134814,51.1,0.4623712552902746
BG,1,eb97,0,34.971098265895954,45.95375722543353,10740.0,14.9,1.9325153752789823,12.5,-1.0076815887107138
CZ,1,eb97,0,56.25615763546798,71.6256157635468,21910.0,17.3,3.67981156078609,29.7,-0.3526321349071646
DK,1,eb97,0,90.93539054966249,92.18900675024108,56530.0,9.6,0.4453963789410599,79.3,1.5363476853635354
DE,1,eb97,3,70.67020570670206,81.55275381552754,44230.0,8.5,0.0,103.0,2.4389448978719144
EE,1,eb97,1,74.75633528265107,73.87914230019493,22370.0,23.2,2.222562614694743,30.9,-0.3069310102231961
IE,1,eb97,0,86.3323500491642,90.26548672566372,92300.0,9.6,0.8718002544294767,46.0,0.2681414753834082
EL,1,eb97,0,40.89108910891089,59.7029702970297,18160.0,11.3,0.1708147308253295,17.8,-0.8058349546898527
ES,1,eb97,0,66.50148662041626,78.1962338949455,26820.0,10.7,0.2773610366138679,44.8,0.22244035069943957
FR,1,eb97,3,61.68316831683168,69.3069306930693,37280.0,6.8,0.0968913936548187,51.2,0.46617968234727203
HR,1,eb97,0,74.0,77.6,15900.0,12.7,0.4120596379623049,39.7,0.02821057079257344
IT,1,eb97,3,56.89149560117302,76.34408602150538,32310.0,8.4,0.1677024851019732,30.7,-0.31454786433719084
CY,1,eb97,0,44.135188866799204,48.31013916500994,28850.0,10.6,1.0223024337358728,37.2,-0.06700010563236104
LV,1,eb97,3,71.88715953307393,69.06614785992218,16890.0,21.3,1.5247177539521377,18.7,-0.7715591111768764
LT,1,eb97,1,82.61738261738262,79.52047952047953,19350.0,20.9,1.8750904312832728,18.6,-0.7753675382338736
LU,1,eb97,0,62.25296442687747,70.15810276679842,104100.0,9.3,0.6282954522565181,10.9,-1.068616421622672
HU,1,eb97,0,57.50487329434698,65.2046783625731,16160.0,14.7,0.2453070906599858,29.2,-0.3716742701921515
MT,1,eb97,0,73.35984095427435,81.11332007952286,31390.0,6.8,0.236459338605928,8.1,-1.1752523792185985
NL,1,eb97,0,84.40276406712735,87.75913129318855,51480.0,11.6,0.4404607169072335,39.9,0.03582742490656804
